Foreground,Background,Contrast Ratio,WCAG Level
mauve.darken,olive.intense,3.01,Fail
mauve.darken,olive.darken,1.1,Fail
mauve.darken,merigold.faded,11.22,AAA
mauve.darken,merigold.regular,6.67,AA
mauve.darken,merigold.intense,3.89,Fail
mauve.darken,merigold.darken,1.16,Fail
mauve.darken,orange.faded,9.87,AAA
mauve.darken,orange.regular,5.41,AA
mauve.darken,orange.intense,3.14,Fail
mauve.darken,orange.darken,1.05,Fail
mauve.darken,rose.faded,9.03,AAA
mauve.darken,rose.regular,3.44,Fail
mauve.darken,rose.intense,2.58,Fail
mauve.darken,rose.darken,1.01,Fail
mauve.darken,background.faded,1.06,Fail
mauve.darken,background.regular,1.14,Fail
mauve.darken,background.intense,1.2,Fail
mauve.darken,background.darken,1.26,Fail
mauve.darken,foreground.faded,12.18,AAA
mauve.darken,foreground.regular,13.5,AAA
mauve.darken,foreground.intense,10.7,AAA
mauve.darken,foreground.darken,6.58,AA
pistachio.faded,ocean.faded,1.14,Fail
pistachio.faded,ocean.regular,3.15,Fail
pistachio.faded,ocean.intense,6.06,AA
pistachio.faded,ocean.darken,10.97,AAA
pistachio.faded,mauve.faded,1.2,Fail
pistachio.faded,mauve.regular,2.52,Fail
pistachio.faded,mauve.intense,7.35,AAA
pistachio.faded,mauve.darken,11.19,AAA
pistachio.faded,pistachio.regular,1.97,Fail
pistachio.faded,pistachio.intense,4.35,Fail
pistachio.faded,pistachio.darken,10.24,AAA
pistachio.faded,olive.faded,1.02,Fail
pistachio.faded,olive.regular,1.58,Fail
pistachio.faded,olive.intense,3.72,Fail
pistachio.faded,olive.darken,10.14,AAA
pistachio.faded,merigold.faded,1.0,Fail
pistachio.faded,merigold.regular,1.68,Fail
pistachio.faded,merigold.intense,2.87,Fail
pistachio.faded,merigold.darken,9.66,AAA
pistachio.faded,orange.faded,1.13,Fail
pistachio.faded,orange.regular,2.07,Fail
pistachio.faded,orange.intense,3.57,Fail
pistachio.faded,orange.darken,10.64,AAA
pistachio.faded,rose.faded,1.24,Fail
pistachio.faded,rose.regular,3.26,Fail
pistachio.faded,rose.intense,4.34,Fail
pistachio.faded,rose.darken,11.3,AAA
pistachio.faded,background.faded,10.51,AAA
pistachio.faded,background.regular,12.76,AAA
pistachio.faded,background.intense,13.37,AAA
pistachio.faded,background.darken,14.14,AAA
pistachio.faded,foreground.faded,1.09,Fail
pistachio.faded,foreground.regular,1.21,Fail
pistachio.faded,foreground.intense,1.05,Fail
pistachio.faded,foreground.darken,1.7,Fail
pistachio.regular,ocean.faded,1.73,Fail
pistachio.regular,ocean.regular,1.6,Fail
pistachio.regular,ocean.intense,3.08,Fail
pistachio.regular,ocean.darken,5.58,AA
pistachio.regular,mauve.faded,1.64,Fail
pistachio.regular,mauve.regular,1.28,Fail
pistachio.regular,mauve.intense,3.74,Fail
pistachio.regular,mauve.darken,5.69,AA
pistachio.regular,pistachio.faded,1.97,Fail
pistachio.regular,pistachio.intense,2.21,Fail
pistachio.regular,pistachio.darken,5.21,AA
pistachio.regular,olive.faded,1.94,Fail
pistachio.regular,olive.regular,1.25,Fail
pistachio.regular,olive.intense,1.89,Fail
pistachio.regular,olive.darken,5.15,AA
pistachio.regular,merigold.faded,1.97,Fail
pistachio.regular,merigold.regular,1.17,Fail
pistachio.regular,merigold.intense,1.46,Fail
pistachio.regular,merigold.darken,4.91,AA
pistachio.regular,orange.faded,1.73,Fail
pistachio.regular,orange.regular,1.05,Fail
pistachio.regular,orange.intense,1.81,Fail
pistachio.regular,orange.darken,5.41,AA
pistachio.regular,rose.faded,1.59,Fail
pistachio.regular,rose.regular,1.66,Fail
pistachio.regular,rose.intense,2.21,Fail
pistachio.regular,rose.darken,5.75,AA
pistachio.regular,background.faded,5.34,AA
pistachio.regular,background.regular,6.49,AA
pistachio.regular,background.intense,6.8,AA
pistachio.regular,background.darken,7.19,AAA
pistachio.regular,foreground.faded,2.14,Fail
pistachio.regular,foreground.regular,2.37,Fail
pistachio.regular,foreground.intense,1.88,Fail
pistachio.regular,foreground.darken,1.16,Fail
pistachio.intense,ocean.faded,3.82,Fail
pistachio.intense,ocean.regular,1.38,Fail
pistachio.intense,ocean.intense,1.39,Fail
pistachio.intense,ocean.darken,2.52,Fail
pistachio.intense,mauve.faded,3.64,Fail
pistachio.intense,mauve.regular,1.73,Fail
pistachio.intense,mauve.intense,1.69,Fail
pistachio.intense,mauve.darken,2.57,Fail
pistachio.intense,pistachio.faded,4.35,Fail
pistachio.intense,pistachio.regular,2.21,Fail
pistachio.intense,pistachio.darken,2.35,Fail
pistachio.intense,olive.faded,4.29,Fail
pistachio.intense,olive.regular,2.76,Fail
pistachio.intense,olive.intense,1.17,Fail
pistachio.intense,olive.darken,2.33,Fail
pistachio.intense,merigold.faded,4.37,Fail
pistachio.intense,merigold.regular,2.6,Fail
pistachio.intense,merigold.intense,1.51,Fail
pistachio.intense,merigold.darken,2.22,Fail
pistachio.intense,orange.faded,3.84,Fail
pistachio.intense,orange.regular,2.1,Fail
pistachio.intense,orange.intense,1.22,Fail
pistachio.intense,orange.darken,2.44,Fail
pistachio.intense,rose.faded,3.51,Fail
pistachio.intense,rose.regular,1.34,Fail
pistachio.intense,rose.intense,1.0,Fail
pistachio.intense,rose.darken,2.6,Fail
pistachio.intense,background.faded,2.41,Fail
pistachio.intense,background.regular,2.93,Fail
pistachio.intense,background.intense,3.07,Fail
pistachio.intense,background.darken,3.25,Fail
pistachio.intense,foreground.faded,4.74,AA
